,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
433,000001.SH,20170320,3250.8082,3241.1101,3251.1271,3228.1177,3237.4471,13.3611,0.4127,170548430.0,213951759.5
434,000001.SH,20170317,3237.4471,3271.8665,3274.1903,3232.2806,3268.9354,-31.4883,-0.9633,200583223.0,262184046.4
435,000001.SH,20170316,3268.9354,3247.1628,3269.77,3247.1628,3241.7597,27.1757,0.8383,189416002.0,244508344.4
436,000001.SH,20170315,3241.7597,3235.403,3243.713,3227.7377,3239.3278,2.4319,0.0751,144055682.0,185727250.3
437,000001.SH,20170314,3239.3278,3235.2515,3246.3285,3231.5209,3237.0244,2.3034,0.0712,146946022.0,191535126.6
438,000001.SH,20170313,3237.0244,3209.4492,3237.1212,3193.1565,3212.7601,24.2643,0.7552,163673760.0,206919741.9
439,000001.SH,20170310,3212.7601,3213.7294,3222.3189,3208.4472,3216.7457,-3.9856,-0.1239,136672743.0,173663170.2
440,000001.SH,20170309,3216.7457,3233.7007,3233.8749,3205.2794,3240.6646,-23.9189,-0.7381,167371108.0,199217646.8
441,000001.SH,20170308,3240.6646,3240.5323,3245.3043,3230.6083,3242.4063,-1.7417,-0.0537,160731388.0,198225782.5
442,000001.SH,20170307,3242.4063,3233.0939,3242.6591,3226.8219,3233.8657,8.5406,0.2641,164064235.0,209931208.3
443,000001.SH,20170306,3233.8657,3217.3345,3234.6626,3215.067,3218.3118,15.5539,0.4833,156092158.0,193769172.3
444,000001.SH,20170303,3218.3118,3219.2019,3221.1553,3206.6127,3230.0281,-11.7163,-0.3627,157082368.0,192707923.0
445,000001.SH,20170302,3230.0281,3250.5183,3256.8074,3228.6647,3246.9335,-16.9054,-0.5207,181215076.0,223043958.7
446,000001.SH,20170301,3246.9335,3240.0726,3259.9781,3237.8714,3241.7331,5.2004,0.1604,190677550.0,225940967.9
447,000001.SH,20170228,3241.7331,3225.9689,3242.679,3225.9689,3228.6602,13.0729,0.4049,151244318.0,186019288.8
448,000001.SH,20170227,3228.6602,3249.1945,3251.6543,3224.0884,3253.4327,-24.7725,-0.7614,182581071.0,211395715.8
449,000001.SH,20170224,3253.4327,3246.8603,3253.9556,3233.5348,3251.375,2.0577,0.0633,186406362.0,213839036.8
450,000001.SH,20170223,3251.375,3258.8319,3264.0819,3236.3549,3261.2184,-9.8434,-0.3018,209179800.0,236822582.2
451,000001.SH,20170222,3261.2184,3252.6898,3261.3808,3243.8398,3253.3257,7.8927,0.2426,207453776.0,234815325.8
452,000001.SH,20170221,3253.3257,3242.2226,3254.3355,3239.8775,3239.9613,13.3644,0.4125,211673066.0,233551176.0
453,000001.SH,20170220,3239.9613,3198.9633,3241.458,3198.9633,3202.0756,37.8857,1.1832,232152096.0,250276131.8
454,000001.SH,20170217,3202.0756,3227.7073,3238.3959,3199.4248,3229.6184,-27.5428,-0.8528,226228177.0,248572751.5
455,000001.SH,20170216,3229.6184,3210.3567,3230.2754,3207.7852,3212.9857,16.6327,0.5177,216955942.0,226587611.9
456,000001.SH,20170215,3212.9857,3215.4639,3235.9977,3206.5606,3217.928,-4.9423,-0.1536,241507706.0,257965244.4
457,000001.SH,20170214,3217.928,3216.137,3219.4047,3205.2853,3216.8394,1.0886,0.0338,188798088.0,204253821.8
458,000001.SH,20170213,3216.8394,3198.9946,3219.4072,3198.9946,3196.699,20.1404,0.63,220191508.0,236158766.8
459,000001.SH,20170210,3196.699,3183.0069,3205.049,3182.8021,3183.1794,13.5196,0.4247,239348913.0,245772163.9
460,000001.SH,20170209,3183.1794,3164.6875,3186.838,3162.5744,3166.9818,16.1976,0.5115,191640327.0,209723158.6
461,000001.SH,20170208,3166.9818,3148.086,3167.4465,3132.0333,3153.0878,13.894,0.4406,144920187.0,170854126.2
462,000001.SH,20170207,3153.0878,3154.4046,3159.544,3140.0356,3156.9838,-3.896,-0.1234,128337442.0,152559086.1
463,000001.SH,20170206,3156.9838,3143.0931,3158.8433,3135.3869,3140.17,16.8138,0.5354,127198283.0,150067694.7
464,000001.SH,20170203,3140.17,3160.0816,3162.6771,3136.013,3159.166,-18.996,-0.6013,92224736.0,108023659.8
465,000001.SH,20170126,3159.166,3149.2167,3163.1041,3148.9083,3149.5547,9.6113,0.3052,113876772.0,125013193.9
466,000001.SH,20170125,3149.5547,3137.6462,3151.4723,3133.1911,3142.5533,7.0014,0.2228,112073827.0,126765829.9
467,000001.SH,20170124,3142.5533,3134.5921,3149.5312,3131.2181,3136.7748,5.7785,0.1842,125973881.0,134553852.1
468,000001.SH,20170123,3136.7748,3125.4209,3145.8411,3125.4209,3123.1389,13.6359,0.4366,132660392.0,148145735.8
469,000001.SH,20170120,3123.1389,3095.8185,3125.6599,3095.2147,3101.2992,21.8397,0.7042,122366777.0,141471811.3
470,000001.SH,20170119,3101.2992,3104.9715,3115.7778,3094.0055,3113.0123,-11.7131,-0.3763,123851420.0,139280461.4
471,000001.SH,20170118,3113.0123,3104.7664,3123.7203,3098.5864,3108.7746,4.2377,0.1363,131780128.0,144546719.2
472,000001.SH,20170117,3108.7746,3087.0295,3108.9072,3072.3384,3103.428,5.3466,0.1723,136157861.0,154757554.7
473,000001.SH,20170116,3103.428,3104.4924,3105.1423,3044.2912,3112.7644,-9.3364,-0.2999,257885996.0,262826041.8
474,000001.SH,20170113,3112.7644,3116.0827,3130.5146,3102.1628,3119.2886,-6.5242,-0.2092,156274214.0,174438553.9
475,000001.SH,20170112,3119.2886,3133.6015,3144.9699,3115.9787,3136.7535,-17.4649,-0.5568,148889240.0,161922296.4
476,000001.SH,20170111,3136.7535,3156.6856,3167.0288,3136.2667,3161.6713,-24.9178,-0.7881,178362221.0,189186459.3
477,000001.SH,20170110,3161.6713,3167.5701,3174.5781,3157.3322,3171.2362,-9.5649,-0.3016,179759216.0,194963216.5
478,000001.SH,20170109,3171.2362,3148.5317,3173.136,3147.7351,3154.321,16.9152,0.5363,171714075.0,192110579.3
479,000001.SH,20170106,3154.321,3163.7761,3172.0347,3153.0253,3165.4109,-11.0899,-0.3503,183708966.0,207296038.4
480,000001.SH,20170105,3165.4109,3157.9063,3168.5021,3154.281,3158.794,6.6169,0.2095,174727645.0,199692026.7
481,000001.SH,20170104,3158.794,3133.7873,3160.1029,3130.1145,3135.9208,22.8732,0.7294,167860850.0,195914292.6
482,000001.SH,20170103,3135.9208,3105.3085,3136.4558,3105.3085,3103.6373,32.2835,1.0402,141567187.0,159887139.4
